Teams,Player,Runs,Balls,Fours,Sixers,Strike Rate,Out_NotOut,Match id,pos,Team_name
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Rohit Sharma,9,5,2,0,180,1,T20I no. 2729,1,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Virat Kohli,76,59,6,2,128.81,1,T20I no. 2729,2,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Rishabh Pant,0,2,0,0,0,1,T20I no. 2729,3,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Suryakumar Yadav,3,4,0,0,75,1,T20I no. 2729,4,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Axar Patel,47,31,1,4,151.61,1,T20I no. 2729,7,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Shivam Dube,27,16,3,1,168.75,1,T20I no. 2729,5,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Hardik Pandya,5,2,1,0,250,0,T20I no. 2729,6,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Ravindra Jadeja,2,2,0,0,100,1,T20I no. 2729,8,India
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Reeza Hendricks,4,5,1,0,80,1,T20I no. 2729,1,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Quinton de Kock,39,31,4,1,125.8,1,T20I no. 2729,2,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Aiden Markram,4,5,1,0,80,1,T20I no. 2729,3,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Tristan Stubbs,31,21,3,1,147.61,1,T20I no. 2729,4,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Heinrich Klaasen,52,27,2,5,192.59,1,T20I no. 2729,6,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",David Miller,21,17,1,1,123.52,1,T20I no. 2729,5,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Marco Jansen,2,4,0,0,50,1,T20I no. 2729,7,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Keshav Maharaj,2,7,0,0,28.57,0,T20I no. 2729,8,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Kagiso Rabada,4,3,1,0,133.33,1,T20I no. 2729,10,South Africa
"India vs South Africa, Final at Bridgetown, T20 World Cup, Jun 29 2024 - Full Scorecard",Anrich Nortje,1,1,0,0,100,0,T20I no. 2729,9,South Africa
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Rohit Sharma,57,39,6,2,146.15,1,T20I no. 2724,1,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Virat Kohli,9,9,0,1,100,1,T20I no. 2724,2,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Rishabh Pant,4,6,0,0,66.66,1,T20I no. 2724,3,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Suryakumar Yadav,47,36,4,2,130.55,1,T20I no. 2724,4,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Hardik Pandya,23,13,1,2,176.92,1,T20I no. 2724,6,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Ravindra Jadeja,17,9,2,0,188.88,0,T20I no. 2724,8,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Shivam Dube,0,1,0,0,0,1,T20I no. 2724,5,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Axar Patel,10,6,0,1,166.66,1,T20I no. 2724,7,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Arshdeep Singh,1,1,0,0,100,0,T20I no. 2724,9,India
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Phil Salt,5,8,0,0,62.5,1,T20I no. 2724,1,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Jos Buttler,23,15,4,0,153.33,1,T20I no. 2724,2,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Moeen Ali,8,10,0,0,80,1,T20I no. 2724,3,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Jonny Bairstow,0,3,0,0,0,1,T20I no. 2724,4,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Harry Brook,25,19,3,0,131.57,1,T20I no. 2724,5,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Sam Curran,2,4,0,0,50,1,T20I no. 2724,6,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Liam Livingstone,11,16,0,0,68.75,1,T20I no. 2724,7,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Chris Jordan,1,5,0,0,20,1,T20I no. 2724,8,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Jofra Archer,21,15,1,2,140,1,T20I no. 2724,9,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Adil Rashid,2,2,0,0,100,1,T20I no. 2724,10,England
"India vs England, 2nd Semi-Final at Providence, T20 World Cup, Jun 27 2024 - Full Scorecard",Reece Topley,3,3,0,0,100,0,T20I no. 2724,11,England
"Afghanistan vs South Africa, 1st Semi-Final at Tarouba, T20 World Cup, Jun 26 2024 - Full Scorecard",Rahmanullah Gurbaz,0,3,0,0,0,1,T20I no. 2723,1,Afghanistan
"Afghanistan vs South Africa, 1st Semi-Final at Tarouba, T20 World Cup, Jun 26 2024 - Full Scorecard",Ibrahim Zadran,2,5,0,0,40,1,T20I no. 2723,2,Afghanistan
"Afghanistan vs South Africa, 1st Semi-Final at Tarouba, T20 World Cup, Jun 26 2024 - Full Scorecard",Gulbadin Naib,9,8,2,0,112.5,1,T20I no. 2723,4,Afghanistan
