Teams,Player,over,madien,run,wicket,economy,Zeros,Fours,Sixers,wide,no ball,Match id,Team_name
India vs South Africa,Marco Jansen,4,0,49,1,12.25,4,5,2,1,1,T20I no. 2729,South Africa
India vs South Africa,Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0,T20I no. 2729,South Africa
India vs South Africa,Kagiso Rabada,4,0,36,1,9,8,2,2,2,0,T20I no. 2729,South Africa
India vs South Africa,Aiden Markram,2,0,16,0,8,1,0,1,0,0,T20I no. 2729,South Africa
India vs South Africa,Anrich Nortje,4,0,26,2,6.5,7,2,0,2,0,T20I no. 2729,South Africa
India vs South Africa,Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0,T20I no. 2729,South Africa
India vs South Africa,Arshdeep Singh,4,0,20,2,5,12,2,0,0,0,T20I no. 2729,India
India vs South Africa,Jasprit Bumrah,4,0,18,2,4.5,14,2,0,0,0,T20I no. 2729,India
India vs South Africa,Axar Patel,4,0,49,1,12.25,8,5,3,2,0,T20I no. 2729,India
India vs South Africa,Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0,T20I no. 2729,India
India vs South Africa,Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1,T20I no. 2729,India
India vs South Africa,Ravindra Jadeja,1,0,12,0,12,0,0,1,0,0,T20I no. 2729,India
India vs England,Reece Topley,3,0,25,1,8.33,8,3,1,0,0,T20I no. 2724,England
India vs England,Jofra Archer,4,0,33,1,8.25,7,4,0,0,0,T20I no. 2724,England
India vs England,Sam Curran,2,0,25,1,12.5,3,2,2,0,0,T20I no. 2724,England
India vs England,Adil Rashid,4,0,25,1,6.25,9,3,0,0,0,T20I no. 2724,England
India vs England,Chris Jordan,3,0,37,3,12.33,4,0,4,0,0,T20I no. 2724,England
India vs England,Liam Livingstone,4,0,24,0,6,9,1,1,1,0,T20I no. 2724,England
India vs England,Arshdeep Singh,2,0,17,0,8.5,5,3,0,0,0,T20I no. 2724,India
India vs England,Jasprit Bumrah,2.4,0,12,2,4.5,8,1,0,0,0,T20I no. 2724,India
India vs England,Axar Patel,4,0,23,3,5.75,10,0,1,0,0,T20I no. 2724,India
India vs England,Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0,T20I no. 2724,India
India vs England,Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0,T20I no. 2724,India
India vs England,Hardik Pandya,1,0,14,0,14,1,1,1,0,0,T20I no. 2724,India
Afghanistan vs South Africa,Marco Jansen,3,0,16,3,5.33,13,2,0,4,0,T20I no. 2723,South Africa
Afghanistan vs South Africa,Keshav Maharaj,1,0,6,0,6,3,1,0,0,0,T20I no. 2723,South Africa
Afghanistan vs South Africa,Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0,T20I no. 2723,South Africa
Afghanistan vs South Africa,Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0,T20I no. 2723,South Africa
Afghanistan vs South Africa,Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,T20I no. 2723,South Africa
Afghanistan vs South Africa,Naveen-ul-Haq,3,0,15,0,5,12,2,0,1,0,T20I no. 2723,Afghanistan
Afghanistan vs South Africa,Fazalhaq Farooqi,2,0,11,1,5.5,9,2,0,1,0,T20I no. 2723,Afghanistan
Afghanistan vs South Africa,Rashid Khan,1,0,8,0,8,2,1,0,0,0,T20I no. 2723,Afghanistan
Afghanistan vs South Africa,Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,T20I no. 2723,Afghanistan
Afghanistan vs South Africa,Gulbadin Naib,1,0,8,0,8,2,1,0,0,0,T20I no. 2723,Afghanistan
Afghanistan vs Bangladesh,Tanzim Hasan Sakib,4,0,36,0,9,9,1,2,1,0,T20I no. 2722,Bangladesh
Afghanistan vs Bangladesh,Taskin Ahmed,4,1,12,1,3,19,0,1,0,0,T20I no. 2722,Bangladesh
Afghanistan vs Bangladesh,Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0,T20I no. 2722,Bangladesh
Afghanistan vs Bangladesh,Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0,T20I no. 2722,Bangladesh
Afghanistan vs Bangladesh,Rishad Hossain,4,0,26,3,6.5,13,3,0,1,0,T20I no. 2722,Bangladesh
Afghanistan vs Bangladesh,Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0,T20I no. 2722,Afghanistan
Afghanistan vs Bangladesh,Fazalhaq Farooqi,2,0,15,1,7.5,3,1,0,2,0,T20I no. 2722,Afghanistan
Afghanistan vs Bangladesh,Mohammad Nabi,2,0,15,0,7.5,5,2,0,0,0,T20I no. 2722,Afghanistan
Afghanistan vs Bangladesh,Rashid Khan,4,0,23,4,5.75,9,2,0,1,0,T20I no. 2722,Afghanistan
Afghanistan vs Bangladesh,Noor Ahmad,4,0,13,0,3.25,18,2,0,0,0,T20I no. 2722,Afghanistan
Afghanistan vs Bangladesh,Gulbadin Naib,2,0,5,1,2.5,7,0,0,0,0,T20I no. 2722,Afghanistan
India vs Australia,Mitchell Starc,4,0,45,2,11.25,12,4,4,1,0,T20I no. 2721,Australia
India vs Australia,Josh Hazlewood,4,0,14,1,3.5,13,1,0,0,0,T20I no. 2721,Australia
India vs Australia,Pat Cummins,4,0,48,0,12,5,4,3,0,0,T20I no. 2721,Australia
India vs Australia,Adam Zampa,4,0,41,0,10.25,2,1,3,0,0,T20I no. 2721,Australia
India vs Australia,Marcus Stoinis,4,0,56,2,14,6,4,5,1,0,T20I no. 2721,Australia
India vs Australia,Arshdeep Singh,4,0,37,3,9.25,12,4,2,2,0,T20I no. 2721,India
India vs Australia,Jasprit Bumrah,4,0,29,1,7.25,11,3,1,0,0,T20I no. 2721,India
India vs Australia,Axar Patel,3,0,21,1,7,9,2,1,0,0,T20I no. 2721,India
India vs Australia,Hardik Pandya,4,0,47,0,11.75,8,4,3,1,0,T20I no. 2721,India
India vs Australia,Kuldeep Yadav,4,0,24,2,6,9,1,1,0,0,T20I no. 2721,India
India vs Australia,Ravindra Jadeja,1,0,17,0,17,0,2,1,0,0,T20I no. 2721,India
West Indies vs South Africa,Marco Jansen,2,0,17,1,8.5,6,2,0,4,0,T20I no. 2720,South Africa
West Indies vs South Africa,Aiden Markram,4,0,28,1,7,11,1,2,2,0,T20I no. 2720,South Africa
West Indies vs South Africa,Keshav Maharaj,4,0,24,1,6,10,1,1,0,0,T20I no. 2720,South Africa
West Indies vs South Africa,Anrich Nortje,4,0,26,0,6.5,13,1,2,2,0,T20I no. 2720,South Africa
West Indies vs South Africa,Tabraiz Shamsi,4,0,27,3,6.75,11,3,1,0,0,T20I no. 2720,South Africa
West Indies vs South Africa,Kagiso Rabada,2,0,11,1,5.5,7,0,1,0,0,T20I no. 2720,South Africa
West Indies vs South Africa,Akeal Hosein,3,0,31,0,10.33,6,6,0,0,0,T20I no. 2720,West Indies
West Indies vs South Africa,Andre Russell,4,0,19,2,4.75,13,2,0,1,0,T20I no. 2720,West Indies
